address	lat,long	type	propertyType	subtype	buildingSize	spaceAvailablity	bill	rent	spaces	description
5220 Tennyson Parkway, Plano, TX 75024	33.067306	-96.807873	Office	Office	Office Building	44,800 SF Bldg	7,992 SF	$845.82	$12.75 /SF/Yr	1 Space	Class B 3-Star Office. One-story, 44,800 SF building, built September 2006. High quality and technology. Located at Pinecrest Drive, between Spring Creek and Tennyson Parkway.
5282 Medical Drive San Antonio, TX 78229	29.508687	-98.587913	Office	Office	Office Building	135,848 SF Bldg	1,349 - 7,134 SF	$142.77 - $755.02	$26 /SF/Yr	9 Spaces	On-site management. Medical office suites and medical retail space available. Current tenant community. Located in the region's greatest concentration of medical treatment, research and education centers,
5301 Southwest Parkway, Austin, TX 78735	30.242123	-97.842243	Office	Office	Office Building	164,700 SF Bldg	38,771 - 42,756 SF	$4,103.26 - $4,525.01	$26 /SF/Yr	4 Spaces	Structured parking. Parking ratio: 3.61:1000. Showers on-site. 5301 Southwest Parkway is a 164,700 square foot office building located in Southwest Austin.
5301 Southwest Parkway, Austin, TX 78746	30.242123	-97.842243	Office	Office	Office Building	123,525 SF Bldg	40,000 - 41,825 SF	$4,233.33 - $4,426.48	$26 /SF/Yr	3 Spaces	Structure Parking, Walking/Running Trails, Outdoor Seating. Convenient access to Downtown, Austin-Bergstrom Airport and upscale residential and retail areas.
5305 Alameda Avenue, El Paso, TX 79905	31.769517	-106.426633	Retail	Retail	Retail (Other)	16,942 SF Bldg	6,919 SF	$686.13	$12 /SF/Yr	1 Space	Parking in front of the main entrance facing Alameda Avenue. Located south of Interstate 10 near Fox Plaza and Texas Tech Medical School with easy access to Interstate.
5350 Burnet Road, Austin, TX 78756	30.327589	-97.740426	Retail	Retail	Street Retail	8,882 SF Bldg	1,490 - 2,093 SF	$147.76 - $207.56	Negotiable	3 Spaces	Mixed-use development consisting of 175 apartment units above 9,000 SF of ground floor retail. Located near Austin' s most sought after neighborhood, in the high-growth urban core.
5360 - 5430 Fredericksburg Road, San Antonio, TX	29.507463	-98.562993	Office	Office	Medical Office	275,984 SF Bldg	896 - 16,328 SF	$94.83 - $1,728.05	$22 - 23 /SF/Yr	14 Spaces	Legacy Oaks has a wide array of medical office space options from which to choose. Legacy Oaks is comprised of one six-floor tower and six plaza buildings situated on Fredericksburg.
540 Oak Centre Dr San Antonio, TX 78258	29.61833	-98.492659	Office	Office	Medical Office	35,656 SF Bldg	2,033 - 4,183 SF	$215.16 - $442.70	$27 /SF/Yr	3 Spaces	Two story property. Designed with the medical user in mind. 4/1000 parking. Wood and marble finishes. Located off Stone Oak Parkway in the prestigious Stone Oak medical area. Convenient to area.
5420 LBJ Freeway, Dallas, TX 75240	32.923176	-96.817529	Office	Office	Office Building	619,333 SF Bldg	6,998 SF	$740.62	Negotiable	1 Space	Office sublease space available with high end finish out and is available immediately.  Iconic towers located at the intersection of LBJ and the N. Dallas Tollway across from Galleria Mall.
5455 W. Sam Houston Parkway, N Houston, TX 77041	29.845724	-95.565371	Warehouse and Storage	Industrial	Office Showroom	45,000 SF Bldg	45,000 SF	$1,800.00	$9 /SF/Yr	1 Space	(+/-)45,000 SF Showroom/Warehouse. Divisible to (+/-)25,000. (+/-)2 Acres Stucco/Metal Construction. Located in Northwest Houston.
5455 West Sam Houston Parkway, North Houston, TX 77041	29.845724	-95.565371	Retail	Retail	Free Standing Bldg	45,000 SF Bldg	45,000 SF	$4,462.50	Negotiable	1 Space	(+/-)45,000 SF Building Available for  Lease. Additional 1.937 Acres of Land Available for Land Lease or BTS.  Located between Tanner Rd and Clay Rd.
550 West Lake Park Blvd, Houston, TX 77079	29.780452	-95.630962	Office	Office	Office Building	423,089 SF Bldg	20,329 - 22,448 SF	$2,151.49 - $2,375.75	Negotiable	11 Spaces	Beautiful park-like setting; WestLake Park - the Premier Office Park in Houston's Energy Corridor. Superior Location - Located in the Epicenter of Houston's Dynamic Energy Corridor Submarket.
5555 San Felipe St Houston, TX 77056	29.749608	-95.472082	Office	Office	Office Building	1,189,750 SF Bldg	1,948 - 27,145 SF	$206.16 - $2,872.85	$28 - 30 /SF/Yr	10 Spaces	Carmen red granite covers the exterior and lobby floors. Built with Bronze Dual pane reflective glass. Galleria/Uptown. Convenient access to the Galleria, restaurants, Uptown retail shops, and hotels.
5601 Granite Parkway, Plano, TX 75024	33.089261	-96.819133	Office	Office	Office Building	361,271 SF Bldg	11,000 SF	$1,164.17	Negotiable	1 Space	Class A, 14-story office building, built in 2006. Adjacent to DNT and SH-121.
5700 Democracy, Plano, TX 75024	33.067957	-96.819939	Office	Office	Office Building	105,195 SF Bldg	52,595 - 52,600 SF	$5,566.30 - $5,566.83	$19.50 /SF/Yr	2 Spaces	 
5700 International Parkway, McAllen, TX 78503	26.158568	-98.282695	Warehouse and Storage	Industrial	Distribution Warehouse	271,872 SF Bldg	40,173 SF	$1,606.92	$3.84 /SF/Yr	1 Space	Class A modern facility in McAllen's most desirable business/distribution location. Access to the Anzalduas International Bridge within minutes, with easy access to McAllen.
5718 Westheimer Rd, Houston, TX 77056	29.738014	-95.476564	Office	Office	Office Building	491,110 SF Bldg	1,289 - 23,767 SF	$136.42 - $2,515.34	$21.50 /SF/Yr	20 Spaces	A 1999-2000 Winner (250,000 to 499,999 SF Category) of The Office Building of the Year Award. Located in Galleria area.
5775 N Sam, Houston Pky W Houston, TX 77086	29.936535	-95.511639	Office	Office	Office Building	257,237 SF Bldg	4,998 - 29,091 SF	$528.96 - $3,078.80	Negotiable	10 Spaces	The nine-story office building features over 270,000 SF of Class A office space. Beltway Lakes is strategically located at the intersection of Beltway 8 and Highway 249.
580 WestLake Park Blvd, Houston, TX 77079	29.781786	-95.631127	Office	Office	Office Building	454,843 SF Bldg	6,648 - 22,230 SF	$703.58 - $2,352.68	Negotiable	11 Spaces	Move-in ready condition; Furniture available; Most floors have office- intensive layout. Located in the Energy Corridor/West Houston. Galleria area is 11 miles northwest.
5908 E. Sam Houston Parkway, South Houston, TX 77049	29.824281	-95.167789	Warehouse and Storage	Industrial	Warehouse	18,000 SF Bldg	18,000 SF	$720.00	$9.36 /SF/Yr	1 Space	Metallic Construction. Crane Ready. Up to 20 Ton Capacity. 27.5' Eave Height (20' hook height). Located South Beltway 8 near Genoa Red Bluff.
5910 E. Sam Houston Parkway, South Houston, TX 77049	29.810674	-95.162525	Warehouse and Storage	Industrial	Warehouse	24,000 SF Bldg	24,000 SF	$960.00	$9.36 /SF/Yr	1 Space	Metallic Construction. Crane Ready. Up to 20 Ton Capacity. 27.5' Eave Height (20' hook height). Located South Beltway 8 near Genoa Red Bluff.
5912 E. Sam Houston Parkway, South Houston, TX 77049	29.824281	-95.167789	Warehouse and Storage	Industrial	Warehouse	14,000 SF Bldg	14,000 SF	$560.00	$9.36 /SF/Yr	1 Space	Metallic Construction. Crane Ready. Up to 20 Ton Capacity. 27.5' Eave Height (20' hook height). Located South Beltway 8 near Genoa Red Bluff.
5914 E. Sam Houston Parkway, South Houston, TX 77049	29.824281	-95.167789	Warehouse and Storage	Industrial	Warehouse	18,000 SF Bldg	18,000 SF	$720.00	$9.36 /SF/Yr	1 Space	Metallic Construction. Crane Ready. Up to 20 Ton Capacity. 27.5' Eave Height (20' hook height). Located South Beltway 8 near Genoa Red Bluff.
5916 E. Sam Houston Parkway, South Houston, TX 77049	29.824281	-95.167789	Warehouse and Storage	Industrial	Warehouse	12,000 SF Bldg	12,000 SF	$480.00	$9.36 /SF/Yr	1 Space	Metallic Construction. Crane Ready. Up to 20 Ton Capacity. 27.5' Eave Height (20' hook height). Located South Beltway 8 near Genoa Red Bluff.
5949 Sherry Ln, Dallas, TX 75225	32.862662	-96.810103	Office	Office	Office Building	302,747 SF Bldg	963 - 20,144 SF	$101.92 - $2,131.91	$25 /SF/Yr	21 Spaces	This building has panoramic views of Dallas suburbs and the cityscape in all directions. Strategically located midway between Dallas' central business district and North Dallas.
6045 Alma Rd McKinney, TX 75070	33.142675	-96.707446	Office	Office	Medical Office	113,375 SF Bldg	1,773 - 28,840 SF	$187.64 - $3,052.23	Negotiable	9 Spaces	6045 Alma Rd is a 24-bed surgical hospital which includes a 4-bed Intensive Care Unit, 20 private suites. Located in McKinney, TX.
6100 International Parkway, McAllen, TX 78503	26.156365	-98.284599	Warehouse and Storage	Industrial	Distribution Warehouse	289,000 SF Bldg	126,131 SF	$5,045.24	$3.84 /SF/Yr	1 Space	Class A modern facility in McAllen's most desirable business/distribution location. Access to the Anzalduas International Bridge within minutes, with easy access to McAllen.
6201 Bonhomme Road, Houston, TX 77036	29.711689	-95.513063	Office	Office	Office Building	142,777 SF Bldg	17,700 SF	$1,873.25	Negotiable	1 Space	Gated, secure site. Abundant parking. On-site deli. Easy access to several major freeways, close proximity to numerous retail, dining and hotel.
6231 E. Stassney Lane, Austin, TX 78744	30.200785	-97.720109	Warehouse and Storage	Industrial	Warehouse	57,600 SF Bldg	38,400 SF	$1,536.00	Negotiable	1 Space	Business Park of Premier Austin Tenants featuring Skylights, Fiber (ready), ESFR Sprinklers. Located within Expo Business Park in Southeast Austin, this property features Triple-Freeport.
6231 E. Stassney Lane, Austin, TX 78744	30.200785	-97.720109	Warehouse and Storage	Industrial	Warehouse	130,002 SF Bldg	136,000 SF	$5,440.00	Negotiable	1 Space	EXPO BUSINESS PARK IS A NEW, CLASS A INDUSTRIAL DEVELOPMENT IN SOUTHEAST. Expo Business Park is located at the corner of Stassney Lane and Burleson Road offering easy access.
630 W Parmer Lane, Austin, TX 78729	30.457708	-97.753333	Retail	Retail	Neighborhood Center	51,106 SF GLA	912 - 3,000 SF	$90.44 - $297.50	Negotiable	6 Spaces	Great visibility at signalized intersection, across the street from HEB. Located at the northwest corner of Parmer Lane and McNeil Drive. Less than a half mile away from McNeil.
6300 Westpark Drive, Houston, TX 77057	29.723995	-95.496922	Warehouse and Storage	Industrial	Distribution Warehouse	102,448 SF Bldg	5,612 - 6,899 SF	$224.48 - $275.96	Negotiable	4 Spaces	Close proximity to major retail, commercial and residential areas. Grade Level Loading. Large. Accessibility to Highway 59, Loop 610 and Beltway 8. Westpark Address and visibility. Prominent exposure.
6301 Gaston Ave, Dallas, TX 75214	32.813087	-96.754584	Office	Office	Office Building	128,855 SF Bldg	989 - 1,023 SF	$104.67 - $108.27	$24 /SF/Yr	2 Spaces	Multi-tenant office complex with on- site Wells Fargo. The most recognizable tower in Lakewood.
6303 Mayfair, Houston, TX 77087	29.690545	-95.315154	Warehouse and Storage	Industrial	Distribution Warehouse	10,000 SF Bldg	10,000 SF	$400.00	$4.80 /SF/Yr	1 Space	Office space and restrooms can be built to suit. Economical space for machine shop or general. 6303 Mayfair - Suite B, Houston, TX 77087.
6321 Grapevine Highway, North Richland Hills, TX 76180	32.808278	-97.248391	Office	Office	Office Building	40,032 SF Bldg	7,554 - 39,637 SF	$799.47 - $4,194.92	Negotiable	2 Spaces	Office/Call Center Divisible to 19,097 SF. NRH Corporate Center comprised of 6 single-story buildings. Convenient access to S.H. 121, Loop 820, Highway 114 & S.H. 183. Minutes from DFW Airport.
6363 Woodway Drive, Houston, TX 77057	29.755574	-95.496541	Office	Office	Office Building	198,247 SF Bldg	2,476 SF	$262.04	$18 /SF/Yr	1 Space	Only minutes from the Galleria, restaurants and hotels. Amenities include: 24-hour security, atrium. Property is located on the south side of Woodway Drive, one half mile east  of Voss Road with easy access.
6500 River Place Blvd, Austin, TX 78730	30.392173	-97.848825	Office	Office	Office Building	113,528 SF Bldg	15,707 SF	$1,662.32	$18 /SF/Yr	1 Space	High-end technology/engineer office. Plug and play space with furniture available. Features on-site. Close to River Place Country Club. This space is located in Building III.
6624 Fannin, Houston, TX 77030	29.709196	-95.401953	Office	Office	Medical Office	423,000 SF Bldg	442 - 22,802 SF	$46.78 - $2,413.21	$27 - 36 /SF/Yr	15 Spaces	Connected to CHI St. Luke's Hospital Outpatient surgery center Synergy with other established. Convenient location in the Texas Medical Center.
6701 Burnet Road, Austin, TX 78757	30.342579	-97.737922	Retail	Retail	Street Retail	8,420 SF Bldg	1,589 SF	$157.58	$32 /SF/Yr	1 Space	1,589 SF of retail available.Next door to new development with Barleyswine, Bufalin and Lick Ice. Premier central Austin space.Over 310,000 daytime employees within 5 miles.Highly visible.
6801 N Capital of Texas Hwy Austin, TX 78731	30.367832	-97.787585	Office	Office	Office Building	92,906 SF Bldg	2,369 - 24,104 SF	$250.72 - $2,551.01	$22 - 22.50 /SF/Yr	3 Spaces	Lakewood Center I and II are in a park- like setting, with direct access to hiking trail and Bull Creek. Lakewood Center is located in northwest Austin, on Capital of Texas Highway (Loop 360).
6900 N Dallas Parkway, Plano, TX 75024	33.072739	-96.823667	Office	Office	Office Building	209,179 SF Bldg	2,995 SF	$316.97	$24.50 /SF/Yr	1 Space	Class A Office, building has great visibility on Dallas North Tollway and excellent access to Tollway. Within walking distance are hotels, restaurants, conference facilities and shopping.
6929 Airport Blvd, Austin, TX 78752	30.33688	-97.717482	Retail	Retail	Power Center	115,907 SF GLA	922 - 24,135 SF	$91.43 - $2,393.39	Negotiable	22 Spaces	861 - 58,000 SF available. Center under new ownership. Located across from the rapidly developing Midtown Commons. Close access to Crestview Station.
700 East Sonterra Blvd, San Antonio, TX 78258	29.614167	-98.484582	Office	Office	Office Building	82,948 SF Bldg	2,078 - 4,022 SF	$219.92 - $425.66	$19.50 /SF/Yr	2 Spaces	A mixed use project comprised of three buildings totaling 82,948 SF. Offering office and medical office. Located on the southwest corner of Sonterra Boulevard and Sigma Road in the heart of San Antonio.
7100 Business Park Drive, Houston, TX 77041	29.872543	-95.565115	Warehouse and Storage	Industrial	Distribution Warehouse	216,000 SF Bldg	18,230 - 41,952 SF	$729.20 - $1,678.08	$4.80 - 5.04 /SF/Yr	2 Spaces	Available for immediate occupancy. The building fronts Beltway 8 feeder road. Direct Access to Beltway 8 and US 290. Within close proximity to Interstate 45 North, Interstate 10.
711 Texas Avenue South, College Station, TX 77840	30.626833	-96.330832	Retail	Retail	Power Center	106,914 SF GLA	2,000 - 8,875 SF	$198.33 - $880.10	Negotiable	4 Spaces	Located at the Main Intersection of Texas Avenue and University Drive.
715 Hwy 83 Weslaco, TX 78596	26.157983	-97.982221	Retail	Retail	Power Center	178,618 SF GLA	7,800 SF	$773.50	Negotiable	1 Space	(+/-)7,800 SF Junior Anchor Space Available. Pylon Signage. Excellent Visibility US Highway 83 a heavily trafficked interstate in the Rio Grande Valley.
7155 Merchant Avenue, El Paso, TX 79915	31.765649	-106.37932	Warehouse and Storage	Industrial	Warehouse	40,200 SF Bldg	40,200 SF	$1,608.00	$3.60 /SF/Yr	1 Space	This is a stand alone building that is a front loading dock high facility. New owners are investing significant. Located within Central El Paso, two blocks south of Interstate 10 off the Hawkins exit.
7160 N. Dallas Pkwy, Plano, TX 75024	33.075232	-96.823014	Office	Office	Office Building	156,757 SF Bldg	27,150 SF	$2,873.38	$27.50 /SF/Yr	1 Space	 
7177 Merchant Avenue, El Paso, TX 79915	31.764925	-106.376569	Warehouse and Storage	Industrial	Warehouse	40,000 SF Bldg	40,000 SF	$1,600.00	$3.60 /SF/Yr	1 Space	 
7189 Merchant Avenue, El Paso, TX 79915	31.764081	-106.375844	Warehouse and Storage	Industrial	Warehouse	80,000 SF Bldg	20,000 SF	$800.00	$3.60 /SF/Yr	1 Space	This is a stand alone building that is a front loading dock high facility. New owners are investing significant. Located within Central El Paso, two blocks south of Interstate 10 off the Hawkins exit.
720 Brazos Street, Austin, TX 78701	30.269446	-97.741067	Office	Office	Office Building	136,585 SF Bldg	5,600 SF	$592.67	$26 /SF/Yr	1 Space	Prime Downtown Austin office space. 2015 OPEX was $15.36/RSF. CBD
750 Conroe Park North Drive Conroe, TX 77303	30.352545	-95.443158	Warehouse and Storage	Industrial	Warehouse	38,750 SF Bldg	38,750 SF	$1,550.00	$10.20 /SF/Yr	1 Space	(+/-)38,750 SF Office/Warehouse Building. (+/-)11,250 SF Office Area. (+/-)3,750 SF M232 Canopy. (+/-)6 Acres. Located in Conroe, TX.
750 N Saint Paul Dallas, TX 75201	32.786005	-96.799779	Office	Office	Office Building	273,080 SF Bldg	742 - 13,751 SF	$78.53 - $1,455.31	$21 - 23 /SF/Yr	18 Spaces	St. Paul Place, considered a gem of the Dallas Central Business District, is prime location in the Arts District. Walking distance to Klyde Warren Park. Major Renovations in 2007.
7500 San Felipe Street, Houston, TX 77063	29.750805	-95.502256	Office	Office	Office Building	163,071 SF Bldg	1,639 - 5,199 SF	$173.46 - $550.23	$18 /SF/Yr	9 Spaces	Positioned in one of Houston's most prestigious locals. Well designed and executed inside and out. Advanced. Easy access to Memorial Village and Interstate 10.
7550 W IH-10, San Antonio, TX 78229	29.699211	-98.652606	Office	Office	Office Building	241,405 SF Bldg	5,122 SF	$542.08	$20 /SF/Yr	1 Space	SUITE FEATURES: 7 Offices, 16 Workstations, Conference Room That Seats 12, Breakroom. Northwest Submarket. IH-10 Frontage. 5 minutes to Med Center. 5 minutes to airport.
7586 Mountain Creek Parkway Dallas, TX 75249	32.632134	-96.943835	Retail	Retail	Free Standing Bldg	13,905 SF Bldg	13,905 SF	$1,378.91	Negotiable	1 Space	Former Walgreens. SWC Mountain Creek Pkwy & Clark Rd.
7670 Woodway Drive, Houston, TX 77063	29.752333	-95.503774	Office	Office	Office Building	72,172 SF Bldg	2,887 SF	$305.54	Negotiable	1 Space	Just west of Galleria, convenient to restaurants, view of the bayou from suite. San Felipe/Voss Submarket.
770 Bradfield, Houston, TX 77060	29.944679	-95.385946	Warehouse and Storage	Industrial	Warehouse	46,766 SF Bldg	2,898 - 4,830 SF	$115.92 - $193.20	$10 /SF/Yr	3 Spaces	 
7719 IH-35 South, San Antonio, TX 78224	29.782985	-98.031556	Office	Office	Medical Office	19,283 SF Bldg	19,283 SF	$2,040.78	$24 /SF/Yr	1 Space	Premier Class A Medical Office Building. New Construction. Generous TI allowance. Great Access. Convenience and Visibility same strengths as retail properties. Strong Location.
777 North Eldridge Parkway, Houston, TX 77079	29.777634	-95.618825	Office	Office	Office Building	239,417 SF Bldg	2,255 - 20,485 SF	$238.65 - $2,168.00	$22.50 /SF/Yr	2 Spaces	This office tower in the prestigious Energy Corridor in West Houston is clad in polished granite. It is directly accessible from both I-10 and Hwy 6 with convenient access to both Westheimer.
777 Post Oak Blvd Houston, TX 77056	29.753395	-95.457269	Office	Office	Office Building	176,776 SF Bldg	5,398 - 10,351 SF	$571.29 - $1,095.48	$22 /SF/Yr	3 Spaces	Recently renovated boutique building with an excellent location directly across from Uptown Park. Located near Galleria/Uptown submarket.
7915 Westglen, Houston, TX 77063	29.724477	-95.504898	Office	Office	Office Building	22,424 SF Bldg	22,424 SF	$2,373.21	$10 /SF/Yr	1 Space	Newly renovated common area with a high tech environment. Fiber optic cabling by mid-2015. Excellent location on a quiet street in the Galleria area with easy access to the Westpark Tollway.
7951 Collin McKinney Parkway, McKinney, TX 75070	33.140097	-96.718477	Retail	Retail	Retail (Other)	76,294 SF Bldg	1,367 - 8,913 SF	$135.56 - $883.87	Negotiable	10 Spaces	Office / Retail Space.
800 Doerr Lane, Schertz, TX 78154	29.612123	-98.291945	Warehouse and Storage	Industrial	Warehouse	213,864 SF Bldg	213,864 SF	$8,554.56	$4.74 /SF/Yr	1 Space	New construction industrial warehouse facility. 54 dock high doors. Trailer storage areas available. Located within Tri County Business Park in San Antonio's NE submarket. Easy access to OH-35.
800 Interchange Blvd, Austin, TX 78721	30.251736	-97.686287	Warehouse and Storage	Industrial	Warehouse	108,000 SF Bldg	25,600 - 38,400 SF	$1,024.00 - $1,536.00	Negotiable	3 Spaces	Interchange East is a 108,000 SF. Industrial property conveniently located off of US Hwy 183. Within foreign trade zone.
8000 Harwin Dr., Houston, TX 77036	29.718205	-95.52402	Warehouse and Storage	Industrial	Flex Space	143,208 SF Bldg	1,710 - 3,813 SF	$68.40 - $152.52	Negotiable	2 Spaces	143,208 SF Flex. Building Built in 1974. Located in Southwest Outer Loop Industrial Submarket.
801 Travis Street, Houston, TX 77002	29.758563	-95.364558	Office	Office	Office Building	220,380 SF Bldg	7,677 SF	$812.48	Negotiable	1 Space	801 Travis is a four star office building with 21 stories. Located in Houston's Central Business District, 801 Travis and is only 27-28 minutes away from both.
801 W. Hi Line Road Pharr, TX 78577	26.103104	-98.209925	Warehouse and Storage	Industrial	Distribution Warehouse	100,000 SF Bldg	50,000 SF	$2,000.00	Negotiable	1 Space	Pharr Bridge Business Park (PBBP) is a new 30 acre, master planned industrial park. This development offers flexible multi- tenant and build-to- suit layouts with on-site trailer staging.
801-921 South Great Southwest Parkway, Grand Prairie, TX	32.730261	-97.045673	Warehouse and Storage	Industrial	Distribution Warehouse	157,385 SF Bldg	6,325 - 86,240 SF	$253.00 - $3,449.60	Negotiable	8 Spaces	Professionally owned and managed. Located in the Lower Great Southwest Industrial Submarket; prime location.
8111 Royal Ridge Pky, Irving, TX 75063	32.917714	-96.995927	Office	Office	Office Building	62,950 SF Bldg	17,000 - 45,950 SF	$1,799.17 - $4,863.04	$14.75 /SF/Yr	2 Spaces	62,950 SF Available For Lease With Avg Rent Of $13.50/Sf/Yr.
8117 Preston Road, Dallas, TX 75225	32.861032	-96.806016	Office	Office	Office Building	159,326 SF Bldg	894 - 4,196 SF	$94.62 - $444.08	$26 /SF/Yr	3 Spaces	 
8208 Westpark, Houston, TX 77063	29.722647	-95.509857	Warehouse and Storage	Industrial	Distribution Warehouse	13,500 SF Bldg	13,500 SF	$540.00	$8.40 /SF/Yr	1 Space	6,387 SF of total usable first floor space available consisting of:4,307 SF of office space2,080 SF of Southwest Houston business park location with Westpark frontage and direct visibility for corporate
823 Congress Ave, Austin, TX 78701	30.270567	-97.741393	Retail	Retail	Street Retail	181,381 SF Bldg	1,465 SF	$145.28	Negotiable	1 Space	Iconic 823 Congress Avenue street level retail opportunity. 823 Congress is 16 stories and includes 181,381 square feet of office space.
8230 N. Loop 1604 W., San Antonio, TX 78249	29.570887	-98.649067	Office	Office	Medical Office	36,384 SF Bldg	2,858 SF	$302.47	$19 /SF/Yr	1 Space	Premier Class A Medical Office Building having same strength as retail properties. New construction. Adjacent to Baptist Health System ER. Strong location in high growth area with affluent demographics.
827 Avenue H, Arlington, TX 76011	32.762157	-97.053486	Warehouse and Storage	Industrial	Warehouse	5,500 SF Bldg	5,500 SF	$220.00	Negotiable	1 Space	Building professionally managed; in the Upper Great Southwest Industrial. Prime location, just off I-30 and SH360.
8300 N Mopac Expy Austin, TX 78759	30.370736	-97.742935	Office	Office	Office Building	93,312 SF Bldg	6,911 - 31,252 SF	$731.41 - $3,307.50	$23 /SF/Yr	2 Spaces	Located in growing Northwest Austin. The Park offers an above average parking ratio of 4.5/1,000. This Class-A building has easy ingress and egress from both MoPac and Steck.
8301 West Monroe, Houston, TX 77061	29.649143	-95.266458	Other	Industrial	Manufacturing	22,719 SF Bldg	22,719 SF	$3,332.12	$5.52 - 5.64 /SF/Yr	1 Space	One grade level, metal, single tenant manufacturing facility. Located immediately east of Hobby Airport. Quick access to I- 45 (Gulf Freeway).
8860 Fallbrook Drive, Houston, TX 77064	29.925119	-95.550563	Warehouse and Storage	Industrial	Flex Space	89,100 SF Bldg	27,054 SF	$1,082.16	Negotiable	1 Space	Legacy Center is located in NW Houston, just minutes from the Beltway 8/290 interchange. Located in Northwest Houston only minutes from the Beltway 8/290 interchange.
8940 Research Blvd, Austin, TX 78758	30.36997	-97.721531	Office	Office	Office Building	5,400 SF Bldg	5,400 SF	$571.50	Negotiable	1 Space	21 parking spaces available; Ratio of 3.88/1,000. Excellent visibility and easy access to Research Boulevard.
900 Town & Country Boulevard Houston, TX 77024	29.782184	-95.560768	Office	Office	Office Building	51,318 SF Bldg	6,051 SF	$640.40	Negotiable	1 Space	900 Town & Country Boulevard is a two star office building with four stories. Located in West Houston, 900 Town & Country Boulevard.
900 West Magnola Ave, Fort Worth, TX 76104	32.73093	-97.333776	Office	Office	Medical Office	50,000 SF Bldg	50,000 SF	$5,291.67	Negotiable	1 Space	Magnolia Green Medical Building is a two-story 50,000  SF Class A medical office building.
904 N. Central Expressway Plano, TX 75074	33.012615	-96.706909	Retail	Retail	Free Standing Bldg	26,000 SF Bldg	26,000 SF	$2,578.33	Negotiable	1 Space	Former Bassett Furniture. NEQ 75 and Plano Parkway.
908 S Riverfront Blvd, Dallas, TX 75207	32.767643	-96.804729	Retail	Retail	Free Standing Bldg	24,777 SF Bldg	4,693 SF	$465.39	Negotiable	1 Space	Former Restaurant / C-store building in move-in condition. Excellent interstate visibility from I-35E. Located at Riverfront and I-35E.
909 Lake Carolyn Pky, Irving, TX 75039	32.86933	-96.935285	Office	Office	Office Building	364,336 SF Bldg	2,421 SF	$256.22	Negotiable	1 Space	Class A office building totaling 364,336 rentable square feet. Located near Las Colinas Submarket.
9090 Katy Freeway, Houston, TX 77024	29.785545	-95.513334	Office	Office	Office Building	95,459 SF Bldg	20,186 SF	$2,136.35	$27 /SF/Yr	1 Space	Retail space available on first floor. Located off of Katy Freeway East.
916 S. Capital of Texas Hwy Austin, TX 78746	30.284918	-97.826654	Office	Office	Office Building	55,216 SF Bldg	56,216 SF	$5,949.53	Negotiable	1 Space	A wooded, campus environment conveniently located off of Capital of Texas Hwy. Located in a premier area of the desirable Southwest submarket.
918 113th Street, Arlington, TX 76011	32.757907	-97.041435	Warehouse and Storage	Industrial	Distribution Warehouse	110,282 SF Bldg	52,900 SF	$2,116.00	$3.70 /SF/Yr	1 Space	Outside storage available; 220' building depth; TIs negotiable; rail access; 39' x 44' typical bay spacing. Central Mid-Cities location; immediate access to Hwy 360, Hwy 183, I-30 & I-20.
9300 Billy the Kid El Paso, TX 79907	31.69054	-106.314633	Warehouse and Storage	Industrial	Warehouse	28,125 SF Bldg	28,125 SF	$1,125.00	Negotiable	1 Space	(+/-) 27,125 sq. ft. warehouse with approximately 1,000 office, ready for occupancy. Sublease opportunity less than three miles from the Zaragoza International Bridge.
931 W Bardin, Arlington, TX 76017	32.673032	-97.124569	Warehouse and Storage	Industrial	Warehouse	420,000 SF Bldg	420,000 SF	$16,800.00	Negotiable	1 Space	Cooper I-20, Building A is a modern bulk distribution center located in the Dallas/Fort Worth. Ideally located in close proximity to Interstate 20, with easy access to Interstate 35 and Interstate 30.
9310 Kirby Drive, Houston, TX 77054	29.669755	-95.415409	Warehouse and Storage	Industrial	Flex Space	63,000 SF Bldg	22,045 SF	$881.80	Negotiable	1 Space	25' Clear Height, Dock-High, ELO Sprinkler System, Ample Parking, Secured Corporate Park. Easy access to 610 and Hwy 288, close to Houston Medical Center.
9324 Neils Thompson Drive Austin, TX 78728	30.381798	-97.734021	Warehouse and Storage	Industrial	Warehouse	56,000 SF Bldg	14,000 SF	$560.00	Negotiable	1 Space	9324 is part of Longhorn Center Business Park. Located on the Northeast corner of US Hwy 183 and Loop 1 / Mopac Expy
9442 Capital of TX Hwy N, Austin, TX 78759	30.390092	-97.748803	Office	Office	Office Building	245,183 SF Bldg	2,552 - 2,809 SF	$270.09 - $297.29	$27 /SF/Yr	2 Spaces	Beautifully lanscaped grounds, building conference room available, abundant  structured parking. 360 and 183 in the Arboretum retail center and park. Adjacent to an array of amenities and restaurants.
950 South Business Park Port Arthur, TX 77640	29.923945	-94.028655	Warehouse and Storage	Industrial	Warehouse	166,929 SF Bldg	166,929 SF	$6,677.16	$3.36 /SF/Yr	1 Space	 
9501 Amberglen Blvd, Austin, TX 78729	30.470773	-97.775269	Office	Office	Office Building	101,045 SF Bldg	3,088 - 41,392 SF	$326.81 - $4,380.65	$19.50 /SF/Yr	7 Spaces	Beautiful campus- like setting surrounded by trees. High parking ratio - (5/1,000). Located near the intersection of US Hwy 183 and RR 620, aswell as US Hwy 183A and Parmer Lane.
